"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CLDN11",-1.62899550929154,5.404304312627,-3.72619844549084,0.000337495779076882,0.0310570127048176,0.0815947601886471,"Downregulated"
"USHBP1",-0.742260669303518,4.64620269466062,-3.72355299294985,0.000340576643888761,0.0310570127048176,0.0734262187769774,"No"
"ADAMTS5",-2.50251964954903,6.40367545358158,-3.72279427053863,0.000341465167057391,0.0310570127048176,0.0710842319401186,"Downregulated"
"RAPGEF2",-0.981976001753072,6.15846091388525,-3.72067204181337,0.000343962183299548,0.0310570127048176,0.0645352678609417,"No"
"PLAC9",-1.1234608784383,5.20512758359438,-3.72031338506191,0.000344385890557137,0.0310570127048176,0.0634287585422522,"Downregulated"
"EEPD1",-0.464037344590108,4.42545422778065,-3.71711869942863,0.000348181965532164,0.0312332118710704,0.0535760732318895,"No"
"CAV1",-1.84456122431816,8.68714366134562,-3.71453883627124,0.000351276481296075,0.0313046021605425,0.0456240099112426,"Downregulated"
"CDKN1C",-1.94093007391642,6.75468796763018,-3.7133835466054,0.000352670697927546,0.0313046021605425,0.0420642845532724,"Downregulated"
"PAK5",-0.641674195858901,4.47764835107905,-3.69939674810147,0.000369972943614692,0.0326693816981431,-0.000968915891256472,"No"
"GPIHBP1",-1.04038997848848,4.76017628822354,-3.69097750900921,0.000380773656851463,0.0334488941878741,-0.0268157345909881,"Downregulated"
"ANKRD29",-2.11832417447521,4.75327134314035,-3.68720293929031,0.000385712559615621,0.0335854990464853,-0.0383896972878297,"Downregulated"
"IL6",-2.73829794003122,5.0927573369322,-3.68676410923025,0.000386290687393219,0.0335854990464853,-0.0397347246172552,"Downregulated"
"GGTA1",-2.16343531716548,6.8756467732918,-3.68350734036149,0.000390607046438986,0.0337875095169723,-0.049713189558652,"Downregulated"
"FAM83D",3.34319186378315,7.17147017851477,3.65983365673336,0.000423387945398562,0.03643715343293,-0.122054650209794,"Upregulated"
"UBE2T",2.65482974299929,7.86348031288414,3.65740103924638,0.000426900549877967,0.0365538985991468,-0.129468939342561,"Upregulated"
"PACC1",0.913095922499942,5.70071033479366,3.6522821105222,0.00043438262652935,0.0370076535184855,-0.145058997625529,"No"
"LNCEGFL7OS",-0.560641069731334,4.00628492946341,-3.64671099988536,0.000442666986149591,0.0374728623252108,-0.162008094002948,"No"
"TMEM220",-1.35674806670245,5.60722907171289,-3.64468776055746,0.000445712522899327,0.0374728623252108,-0.168158755364631,"Downregulated"
"PDE1C",-1.02711651437465,4.00203598302866,-3.64418401710226,0.000446473881661707,0.0374728623252108,-0.169689751060302,"Downregulated"
"TLE4",-1.25302688246906,6.00352641056844,-3.63912290687803,0.000454192032038329,0.0379328655723046,-0.18506307736838,"Downregulated"
"KLF4",-1.92801820816983,6.63184966645595,-3.62297832803524,0.000479666890656935,0.0398640807068513,-0.233998320240246,"Downregulated"
"FREM1",-1.22533269056287,3.74154623835914,-3.61994191151578,0.000484607048457695,0.0400781848758622,-0.243184066627991,"Downregulated"
